source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	Cluster	-log10(p_value)
GO:CC	GO:1990904	ribonucleoprotein complex	0.003359738225741031	True	"""A macromolecular complex that contains both RNA and protein molecules."" [GOC:krc, GOC:vesicles]"	831	37	8	20029	0.21621621621621623	0.009626955475330927	query_1	['GO:0032991']	4hr_60S_up	2.47369455937951
GO:CC	GO:0043232	intracellular membraneless organelle	0.003359738225741031	True	"""Organized structure of distinctive morphology and function, not bounded by a lipid bilayer membrane and occurring within the cell. Includes ribosomes, the cytoskeleton and chromosomes."" [GOC:go_curators]"	2568	37	14	20029	0.3783783783783784	0.005451713395638629	query_1	['GO:0043228', 'GO:0043229']	4hr_60S_up	2.47369455937951
GO:CC	GO:0043228	membraneless organelle	0.003359738225741031	True	"""Organized structure of distinctive morphology and function, not bounded by a lipid bilayer membrane. Includes ribosomes, the cytoskeleton and chromosomes."" [GOC:go_curators]"	2568	37	14	20029	0.3783783783783784	0.005451713395638629	query_1	['GO:0043226']	4hr_60S_up	2.47369455937951
GO:CC	GO:0005737	cytoplasm	0.003359738225741031	True	"""The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."" [ISBN:0198547684]"	9524	37	29	20029	0.7837837837837838	0.003044939101217976	query_1	['GO:0005622', 'GO:0110165']	4hr_60S_up	2.47369455937951
GO:CC	GO:0031967	organelle envelope	0.004821250031584613	True	"""A double membrane structure enclosing an organelle, including two lipid bilayers and the region between them. In some cases, an organelle envelope may have more than two membranes."" [GOC:mah, GOC:pz]"	1452	37	10	20029	0.2702702702702703	0.006887052341597796	query_1	['GO:0043227', 'GO:0043229', 'GO:0110165']	4hr_60S_up	2.316840345280784
GO:CC	GO:0019867	outer membrane	0.004928872969233858	True	"""The external membrane of Gram-negative bacteria or certain organelles such as mitochondria and chloroplasts; freely permeable to most ions and metabolites."" [GOC:go_curators]"	546	37	6	20029	0.16216216216216217	0.01098901098901099	query_1	['GO:0016020']	4hr_60S_up	2.3072523746778355
GO:CC	GO:0031966	mitochondrial membrane	0.004928872969233858	True	"""Either of the lipid bilayers that surround the mitochondrion and form the mitochondrial envelope."" [GOC:mah, NIF_Subcellular:sao1045389829]"	352	37	5	20029	0.13513513513513514	0.014204545454545454	query_1	['GO:0005740', 'GO:0031090']	4hr_60S_up	2.3072523746778355
GO:CC	GO:0005840	ribosome	0.004928872969233858	True	"""An intracellular organelle, about 200 A in diameter, consisting of RNA and protein. It is the site of protein biosynthesis resulting from translation of messenger RNA (mRNA). It consists of two subunits, one large and one small, each containing only protein and RNA. Both the ribosome and its subunits are characterized by their sedimentation coefficients, expressed in Svedberg units (symbol: S). Hence, the prokaryotic ribosome (70S) comprises a large (50S) subunit and a small (30S) subunit, while the eukaryotic ribosome (80S) comprises a large (60S) subunit and a small (40S) subunit. Two sites on the ribosomal large subunit are involved in translation, namely the aminoacyl site (A site) and peptidyl site (P site). Ribosomes from prokaryotes, eukaryotes, mitochondria, and chloroplasts have characteristically distinct ribosomal proteins."" [ISBN:0198506732]"	533	37	6	20029	0.16216216216216217	0.01125703564727955	query_1	['GO:0043232']	4hr_60S_up	2.3072523746778355
GO:CC	GO:0032040	small-subunit processome	0.004928872969233858	True	"""A large ribonucleoprotein complex that is an early preribosomal complex. In S. cerevisiae, it has a size of 80S and consists of the 35S pre-rRNA, early-associating ribosomal proteins most of which are part of the small ribosomal subunit, the U3 snoRNA and associated proteins."" [GOC:krc, GOC:vw, PMID:12068309, PMID:12957375, PMID:15120992, PMID:15590835]"	17	37	2	20029	0.05405405405405406	0.11764705882352941	query_1	['GO:0030684']	4hr_60S_up	2.3072523746778355
GO:CC	GO:0031968	organelle outer membrane	0.004928872969233858	True	"""The outer, i.e. cytoplasm-facing in a cellular organelle, lipid bilayer of an organelle envelope."" [GOC:mah]"	546	37	6	20029	0.16216216216216217	0.01098901098901099	query_1	['GO:0019867', 'GO:0031967', 'GO:0098588']	4hr_60S_up	2.3072523746778355
GO:CC	GO:0005740	mitochondrial envelope	0.005360089458710634	True	"""The double lipid bilayer enclosing the mitochondrion and separating its contents from the cell cytoplasm; includes the intermembrane space."" [GOC:ai, GOC:pz]"	367	37	5	20029	0.13513513513513514	0.013623978201634877	query_1	['GO:0005739', 'GO:0031967']	4hr_60S_up	2.2708279619676452
GO:CC	GO:0031090	organelle membrane	0.008415731350913393	True	"""A membrane that is one of the two lipid bilayers of an organelle envelope or the outermost membrane of single membrane bound organelle."" [GOC:dos, GOC:mah]"	2413	37	12	20029	0.32432432432432434	0.004973062577704103	query_1	['GO:0016020', 'GO:0043227']	4hr_60S_up	2.074908136626421
GO:CC	GO:0030684	preribosome	0.010210258340388887	True	"""Any complex of pre-rRNAs, ribosomal proteins, and associated proteins formed during ribosome biogenesis."" [PMID:10567516]"	28	37	2	20029	0.05405405405405406	0.07142857142857142	query_1	['GO:1990904']	4hr_60S_up	1.9909632692366996
GO:CC	GO:0022625	cytosolic large ribosomal subunit	0.011199582435317951	True	"""The large subunit of a ribosome located in the cytosol."" [GOC:mtg_sensu]"	121	37	3	20029	0.08108108108108109	0.024793388429752067	query_1	['GO:0015934', 'GO:0022626']	4hr_60S_up	1.950798169242127
GO:CC	GO:0022626	cytosolic ribosome	0.014005086246481982	True	"""A ribosome located in the cytosol."" [GOC:mtg_sensu]"	289	37	4	20029	0.10810810810810811	0.01384083044982699	query_1	['GO:0005829', 'GO:0005840']	4hr_60S_up	1.8537142123487402
GO:CC	GO:0005622	intracellular anatomical structure	0.014595304690458251	True	"""A component of a cell contained within (but not including) the plasma membrane. In eukaryotes it includes the nucleus and cytoplasm."" [ISBN:0198506732]"	13505	37	33	20029	0.8918918918918919	0.0024435394298408	query_1	['GO:0110165']	4hr_60S_up	1.8357868342831276
GO:CC	GO:0015934	large ribosomal subunit	0.01638519907421486	True	"""The larger of the two subunits of a ribosome. Two sites on the ribosomal large subunit are involved in translation, namely the aminoacyl site (A site) and peptidyl site (P site)."" [ISBN:0198506732]"	148	37	3	20029	0.08108108108108109	0.02027027027027027	query_1	['GO:0044391']	4hr_60S_up	1.7855482777294058
GO:CC	GO:0043226	organelle	0.017320861270826465	True	"""Organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton, and prokaryotic structures such as anammoxosomes and pirellulosomes. Excludes the plasma membrane."" [GOC:go_curators]"	12326	37	31	20029	0.8378378378378378	0.002515008924225215	query_1	['GO:0110165']	4hr_60S_up	1.7614305167143072
GO:CC	GO:0043229	intracellular organelle	0.017320861270826465	True	"""Organized structure of distinctive morphology and function, occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:go_curators]"	12312	37	31	20029	0.8378378378378378	0.0025178687459389212	query_1	['GO:0005622', 'GO:0043226']	4hr_60S_up	1.7614305167143072
GO:CC	GO:0043231	intracellular membrane-bounded organelle	0.01910795246191636	True	"""Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane and occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."" [GOC:go_curators]"	11808	37	30	20029	0.8108108108108109	0.002540650406504065	query_1	['GO:0043227', 'GO:0043229']	4hr_60S_up	1.718785847855142
GO:CC	GO:0043227	membrane-bounded organelle	0.01910795246191636	True	"""Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."" [GOC:go_curators]"	11823	37	30	20029	0.8108108108108109	0.002537427048972342	query_1	['GO:0043226']	4hr_60S_up	1.718785847855142
GO:CC	GO:0098588	bounding membrane of organelle	0.01910795246191636	True	"""The lipid bilayer that forms the outer-most layer of an organelle."" [GOC:dos]"	1406	37	8	20029	0.21621621621621623	0.005689900426742532	query_1	['GO:0031090']	4hr_60S_up	1.718785847855142
