source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	Cluster	-log10(p_value)
GO:BP	GO:0071569	protein ufmylation	0.00027818955690182894	True	"""Covalent attachment of the ubiquitin-like protein UFM1 to another protein."" [GOC:vw, PMID:20018847]"	3	14	2	21925	0.14285714285714285	0.6666666666666666	query_1	['GO:0032446']	Bulked_60S_up	3.5556591772377057
GO:BP	GO:0097305	response to alcohol	0.023734016490820253	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an alcohol stimulus."" [GOC:pr, PMID:24014527]"	613	14	4	21925	0.2857142857142857	0.0065252854812398045	query_1	['GO:1901700']	Bulked_60S_up	1.624628760215243
GO:BP	GO:0033993	response to lipid	0.023734016490820253	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a lipid stimulus."" [GOC:sl]"	1022	14	5	21925	0.35714285714285715	0.004892367906066536	query_1	['GO:0042221']	Bulked_60S_up	1.624628760215243
GO:BP	GO:0009765	photosynthesis, light harvesting	0.023734016490820253	True	"""Absorption and transfer of the energy absorbed from light photons between photosystem reaction centers."" [GOC:sm]"	37	14	2	21925	0.14285714285714285	0.05405405405405406	query_1	['GO:0006091', 'GO:0019684']	Bulked_60S_up	1.624628760215243
GO:BP	GO:0009737	response to abscisic acid	0.023734016490820253	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abscisic acid stimulus."" [GOC:jl]"	604	14	4	21925	0.2857142857142857	0.006622516556291391	query_1	['GO:0009725', 'GO:0033993', 'GO:0097305']	Bulked_60S_up	1.624628760215243
GO:BP	GO:0009644	response to high light intensity	0.02777853298818262	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a high light intensity stimulus."" [GOC:go_curators]"	64	14	2	21925	0.14285714285714285	0.03125	query_1	['GO:0009642']	Bulked_60S_up	1.5562906935141778
GO:BP	GO:0006950	response to stress	0.02777853298818262	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]"	3733	14	8	21925	0.5714285714285714	0.0021430484864720066	query_1	['GO:0050896']	Bulked_60S_up	1.5562906935141778
GO:BP	GO:0042430	indole-containing compound metabolic process	0.034377124495628936	True	"""The chemical reactions and pathways involving compounds that contain an indole (2,3-benzopyrrole) skeleton."" [GOC:jl, GOC:mah]"	83	14	2	21925	0.14285714285714285	0.024096385542168676	query_1	['GO:0008152']	Bulked_60S_up	1.4637304530680681
GO:BP	GO:0009628	response to abiotic stimulus	0.034377124495628936	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abiotic (not derived from living organisms) stimulus."" [GOC:hb]"	2131	14	6	21925	0.42857142857142855	0.0028155795401220087	query_1	['GO:0050896']	Bulked_60S_up	1.4637304530680681
GO:BP	GO:0009719	response to endogenous stimulus	0.04752828955786316	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus arising within the organism."" [GOC:sm]"	1636	14	5	21925	0.35714285714285715	0.003056234718826406	query_1	['GO:0050896']	Bulked_60S_up	1.3230478147594813
GO:BP	GO:1901700	response to oxygen-containing compound	0.04752828955786316	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an oxygen-containing compound stimulus."" [GOC:pr, GOC:TermGenie]"	1659	14	5	21925	0.35714285714285715	0.0030138637733574444	query_1	['GO:0042221']	Bulked_60S_up	1.3230478147594813
GO:BP	GO:0080024	indolebutyric acid metabolic process	0.04752828955786316	True	"""The chemical reactions and pathways involving indolebutyric acid, a compound that serves as an active or storage form of the hormone indole-3-acetic acid (an auxin) in many plants."" [PMID:18725356]"	6	14	1	21925	0.07142857142857142	0.16666666666666666	query_1	['GO:0009850', 'GO:0032787', 'GO:0042430']	Bulked_60S_up	1.3230478147594813
GO:BP	GO:0071475	cellular hyperosmotic salinity response	0.04752828955786316	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of detection of, or exposure to, an increase in the concentration of salt (particularly but not exclusively sodium and chloride ions) in the environment."" [GOC:mah]"	6	14	1	21925	0.07142857142857142	0.16666666666666666	query_1	['GO:0042538', 'GO:0071472', 'GO:0071474']	Bulked_60S_up	1.3230478147594813
GO:BP	GO:0071474	cellular hyperosmotic response	0.04752828955786316	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of detection of, or exposure to, a hyperosmotic environment, i.e. an environment with a higher concentration of solutes than the organism or cell."" [GOC:mah]"	7	14	1	21925	0.07142857142857142	0.14285714285714285	query_1	['GO:0006972', 'GO:0071470']	Bulked_60S_up	1.3230478147594813
GO:BP	GO:0050896	response to stimulus	0.04752828955786316	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."" [GOC:ai, GOC:bf]"	6001	14	9	21925	0.6428571428571429	0.0014997500416597234	query_1	['GO:0008150']	Bulked_60S_up	1.3230478147594813
GO:BP	GO:0070301	cellular response to hydrogen peroxide	0.04752828955786316	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a hydrogen peroxide (H2O2) stimulus."" [CHEBI:16240, GOC:mah]"	7	14	1	21925	0.07142857142857142	0.14285714285714285	query_1	['GO:0034614', 'GO:0042542']	Bulked_60S_up	1.3230478147594813
GO:BP	GO:0009642	response to light intensity	0.04752828955786316	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a light intensity stimulus."" [GOC:go_curators]"	154	14	2	21925	0.14285714285714285	0.012987012987012988	query_1	['GO:0009416']	Bulked_60S_up	1.3230478147594813
GO:BP	GO:0032434	regulation of proteasomal ubiquitin-dependent protein catabolic process	0.04752828955786316	True	"""Any process that modulates the frequency, rate or extent of the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent attachment of ubiquitin, and mediated by the proteasome."" [GOC:mah]"	5	14	1	21925	0.07142857142857142	0.2	query_1	['GO:0043161', 'GO:0061136', 'GO:2000058']	Bulked_60S_up	1.3230478147594813
GO:BP	GO:0019684	photosynthesis, light reaction	0.04752828955786316	True	"""The light reactions of photosynthesis, which take place in photosystems II and I. Light energy is harvested and used to power the transfer of electrons among a series of electron donors and acceptors. The final electron acceptor is NADP+, which is reduced to NADPH. NADPH generated from light reactions is used in sugar synthesis in dark reactions. Light reactions also generate a proton motive force across the thylakoid membrane, and the proton gradient is used to synthesize ATP. There are two chemical reactions involved in the light reactions: water oxidation in photosystem II, and NADP reduction in photosystem I."" [PMID:15746074]"	146	14	2	21925	0.14285714285714285	0.0136986301369863	query_1	['GO:0006091', 'GO:0015979']	Bulked_60S_up	1.3230478147594813
GO:BP	GO:0009769	photosynthesis, light harvesting in photosystem II	0.04752828955786316	True	"""After a photon of light is absorbed by one of the many chlorophyll molecules, in one of the light-harvesting complexes of an antenna on photosystem II, some of the absorbed energy is transferred to the pair of chlorophyll molecules in the reaction center."" [GOC:jid, ISBN:0716731363, ISBN:0816017360]"	4	14	1	21925	0.07142857142857142	0.25	query_1	['GO:0009765']	Bulked_60S_up	1.3230478147594813
GO:BP	GO:0009725	response to hormone	0.04752828955786316	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a hormone stimulus."" [GOC:jl]"	1635	14	5	21925	0.35714285714285715	0.0030581039755351682	query_1	['GO:0009719', 'GO:0042221']	Bulked_60S_up	1.3230478147594813
GO:BP	GO:0071108	protein K48-linked deubiquitination	0.04752828955786316	True	"""A protein deubiquitination process in which a K48-linked ubiquitin chain, i.e. a polymer of ubiquitin formed by linkages between lysine residues at position 48 of the ubiquitin monomers, is removed from a protein."" [GOC:mah]"	4	14	1	21925	0.07142857142857142	0.25	query_1	['GO:0016579']	Bulked_60S_up	1.3230478147594813
GO:BP	GO:2000058	regulation of ubiquitin-dependent protein catabolic process	0.04752828955786316	True	"""Any process that modulates the frequency, rate or extent of ubiquitin-dependent protein catabolic process."" [GOC:BHF]"	6	14	1	21925	0.07142857142857142	0.16666666666666666	query_1	['GO:0006511', 'GO:0009894', 'GO:1903050']	Bulked_60S_up	1.3230478147594813
GO:BP	GO:0006412	translation	4.24233467287326e-09	True	"""The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA or circRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA or circRNA. Translation ends with the release of a polypeptide chain from the ribosome."" [GOC:go_curators]"	1401	67	23	21925	0.34328358208955223	0.01641684511063526	query_1	['GO:0009059', 'GO:0010467', 'GO:0019538']	16hr_60S_up	8.372395073478854
GO:BP	GO:0002182	cytoplasmic translational elongation	8.60004565516852e-08	True	"""The successive addition of amino acid residues to a nascent polypeptide chain during protein biosynthesis in the cytoplasm."" [GOC:hjd]"	5	67	4	21925	0.05970149253731343	0.8	query_1	['GO:0002181', 'GO:0006414']	16hr_60S_up	7.065499243205836
GO:BP	GO:0006414	translational elongation	2.5350071114757606e-05	True	"""The successive addition of amino acid residues to a nascent polypeptide chain during protein biosynthesis."" [GOC:ems]"	81	67	6	21925	0.08955223880597014	0.07407407407407407	query_1	['GO:0006412', 'GO:0009059']	16hr_60S_up	4.596020817999147
GO:BP	GO:0002181	cytoplasmic translation	0.00047172885190262254	True	"""The chemical reactions and pathways resulting in the formation of a protein in the cytoplasm. This is a ribosome-mediated process in which the information in messenger RNA (mRNA) is used to specify the sequence of amino acids in the protein."" [GOC:hjd]"	36	67	4	21925	0.05970149253731343	0.1111111111111111	query_1	['GO:0006412']	16hr_60S_up	3.326307560602069
GO:BP	GO:0006950	response to stress	0.00150544530034039	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]"	3733	67	26	21925	0.3880597014925373	0.006964907581034021	query_1	['GO:0050896']	16hr_60S_up	2.822335019753947
GO:BP	GO:0033554	cellular response to stress	0.00150544530034039	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating the organism is under stress. The stress is usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]"	1085	67	13	21925	0.19402985074626866	0.011981566820276499	query_1	['GO:0006950', 'GO:0051716']	16hr_60S_up	2.822335019753947
GO:BP	GO:0019538	protein metabolic process	0.002565983034263293	True	"""The chemical reactions and pathways involving a protein. Includes protein modification."" [GOC:ma]"	4407	67	28	21925	0.417910447761194	0.006353528477422283	query_1	['GO:0043170', 'GO:0044238']	16hr_60S_up	2.590746219414789
