source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	Cluster	-log10(p_value)
GO:BP	GO:0009987	cellular process	0.012268747192492642	True	"""Any process that is carried out at the cellular level, but not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:go_curators, GOC:isa_complete]"	16591	95	88	21925	0.9263157894736842	0.0053040805255861615	query_1	['GO:0008150']	4hr_60S_down	1.9111997824372813
GO:BP	GO:0036294	cellular response to decreased oxygen levels	0.013557445705780135	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus reflecting a decline in the level of oxygen."" [GOC:al]"	241	95	7	21925	0.07368421052631578	0.029045643153526972	query_1	['GO:0036293', 'GO:0071453']	4hr_60S_down	1.867822126131106
GO:BP	GO:0071453	cellular response to oxygen levels	0.013557445705780135	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus reflecting the presence, absence, or concentration of oxygen."" [GOC:mah]"	241	95	7	21925	0.07368421052631578	0.029045643153526972	query_1	['GO:0070482', 'GO:0070887']	4hr_60S_down	1.867822126131106
GO:BP	GO:0071456	cellular response to hypoxia	0.013557445705780135	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating lowered oxygen tension. Hypoxia, defined as a decline in O2 levels below normoxic levels of 20.8 - 20.95%, results in metabolic adaptation at both the cellular and organismal level."" [GOC:mah]"	239	95	7	21925	0.07368421052631578	0.029288702928870293	query_1	['GO:0001666', 'GO:0033554', 'GO:0036294']	4hr_60S_down	1.867822126131106
GO:BP	GO:0044281	small molecule metabolic process	0.013557445705780135	True	"""The chemical reactions and pathways involving small molecules, any low molecular weight, monomeric, non-encoded molecule."" [GOC:curators, GOC:pde, GOC:vw]"	1595	95	19	21925	0.2	0.011912225705329153	query_1	['GO:0008152']	4hr_60S_down	1.867822126131106
GO:BP	GO:0006082	organic acid metabolic process	0.01563893813888501	True	"""The chemical reactions and pathways involving organic acids, any acidic compound containing carbon in covalent linkage."" [ISBN:0198506732]"	1068	95	14	21925	0.14736842105263157	0.013108614232209739	query_1	['GO:0044281']	4hr_60S_down	1.8057927382377112
GO:BP	GO:0001666	response to hypoxia	0.01563893813888501	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating lowered oxygen tension. Hypoxia, defined as a decline in O2 levels below normoxic levels of 20.8 - 20.95%, results in metabolic adaptation at both the cellular and organismal level."" [GOC:hjd]"	266	95	7	21925	0.07368421052631578	0.02631578947368421	query_1	['GO:0006950', 'GO:0036293']	4hr_60S_down	1.8057927382377112
GO:BP	GO:0043436	oxoacid metabolic process	0.01563893813888501	True	"""The chemical reactions and pathways involving any oxoacid; an oxoacid is a compound which contains oxygen, at least one other element, and at least one hydrogen bound to oxygen, and which produces a conjugate base by loss of positive hydrogen ion(s) (hydrons)."" [Wikipedia:Oxyacid]"	1067	95	14	21925	0.14736842105263157	0.013120899718837863	query_1	['GO:0006082']	4hr_60S_down	1.8057927382377112
GO:BP	GO:0070482	response to oxygen levels	0.01563893813888501	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus reflecting the presence, absence, or concentration of oxygen."" [GOC:BHF, GOC:mah]"	271	95	7	21925	0.07368421052631578	0.025830258302583026	query_1	['GO:0009628']	4hr_60S_down	1.8057927382377112
GO:BP	GO:0036293	response to decreased oxygen levels	0.01563893813888501	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus reflecting a decline in the level of oxygen."" [GOC:al]"	270	95	7	21925	0.07368421052631578	0.025925925925925925	query_1	['GO:0070482']	4hr_60S_down	1.8057927382377112
GO:BP	GO:0010167	response to nitrate	0.01703100892360855	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a nitrate stimulus."" [GOC:sm]"	28	95	3	21925	0.031578947368421054	0.10714285714285714	query_1	['GO:1901698', 'GO:1901700']	4hr_60S_down	1.76875962350088
GO:BP	GO:0032787	monocarboxylic acid metabolic process	0.01785735470771769	True	"""The chemical reactions and pathways involving monocarboxylic acids, any organic acid containing one carboxyl (COOH) group or anion (COO-)."" [GOC:vk]"	489	95	9	21925	0.09473684210526316	0.018404907975460124	query_1	['GO:0019752']	4hr_60S_down	1.748182874726767
GO:BP	GO:0006950	response to stress	0.02192435665868839	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]"	3733	95	30	21925	0.3157894736842105	0.008036431824270024	query_1	['GO:0050896']	4hr_60S_down	1.6590731415733644
GO:BP	GO:0097435	supramolecular fiber organization	0.029497528505807367	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a supramolecular fiber, a polymer consisting of an indefinite number of protein or protein complex subunits that have polymerised to form a fiber-shaped structure."" [GOC:pr]"	152	95	5	21925	0.05263157894736842	0.03289473684210526	query_1	['GO:0016043']	4hr_60S_down	1.5302143705050586
GO:BP	GO:0009628	response to abiotic stimulus	0.03665716118522433	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abiotic (not derived from living organisms) stimulus."" [GOC:hb]"	2131	95	20	21925	0.21052631578947367	0.009385265133740028	query_1	['GO:0050896']	4hr_60S_down	1.4358411708339651
GO:BP	GO:0006629	lipid metabolic process	0.04336422710199203	True	"""The chemical reactions and pathways involving lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent. Includes fatty acids; neutral fats, other fatty-acid esters, and soaps; long-chain (fatty) alcohols and waxes; sphingoids and other long-chain bases; glycolipids, phospholipids and sphingolipids; and carotenes, polyprenols, sterols, terpenes and other isoprenoids."" [GOC:ma]"	1097	95	13	21925	0.1368421052631579	0.011850501367365542	query_1	['GO:0044238']	4hr_60S_down	1.3628683898093756
GO:BP	GO:0044281	small molecule metabolic process	7.522663166727461e-125	True	"""The chemical reactions and pathways involving small molecules, any low molecular weight, monomeric, non-encoded molecule."" [GOC:curators, GOC:pde, GOC:vw]"	1595	1705	426	21925	0.2498533724340176	0.2670846394984326	query_1	['GO:0008152']	16hr_60S_down	124.12362838362898
GO:BP	GO:0006082	organic acid metabolic process	3.501920386933047e-94	True	"""The chemical reactions and pathways involving organic acids, any acidic compound containing carbon in covalent linkage."" [ISBN:0198506732]"	1068	1705	305	21925	0.17888563049853373	0.28558052434456926	query_1	['GO:0044281']	16hr_60S_down	93.4556937314418
GO:BP	GO:0043436	oxoacid metabolic process	9.934736583508804e-94	True	"""The chemical reactions and pathways involving any oxoacid; an oxoacid is a compound which contains oxygen, at least one other element, and at least one hydrogen bound to oxygen, and which produces a conjugate base by loss of positive hydrogen ion(s) (hydrons)."" [Wikipedia:Oxyacid]"	1067	1705	304	21925	0.17829912023460412	0.2849109653233365	query_1	['GO:0006082']	16hr_60S_down	93.0028436435864
GO:BP	GO:0019752	carboxylic acid metabolic process	2.48495131173334e-91	True	"""The chemical reactions and pathways involving carboxylic acids, any organic acid containing one or more carboxyl (COOH) groups or anions (COO-)."" [ISBN:0198506732]"	955	1705	283	21925	0.16598240469208211	0.2963350785340314	query_1	['GO:0043436']	16hr_60S_down	90.60468211608666
GO:BP	GO:0006520	amino acid metabolic process	1.5584273036531038e-72	True	"""The chemical reactions and pathways involving amino acids, carboxylic acids containing one or more amino groups."" [ISBN:0198506732]"	435	1705	169	21925	0.09912023460410557	0.38850574712643676	query_1	['GO:0044238']	16hr_60S_down	71.8073134515576
GO:BP	GO:0044283	small molecule biosynthetic process	3.7267897835877997e-63	True	"""The chemical reactions and pathways resulting in the formation of small molecules, any low molecular weight, monomeric, non-encoded molecule."" [GOC:curators, GOC:pde, GOC:vw]"	686	1705	202	21925	0.11847507331378299	0.2944606413994169	query_1	['GO:0009058', 'GO:0044281']	16hr_60S_down	62.42866510373197
GO:BP	GO:0009987	cellular process	5.146372492975468e-60	True	"""Any process that is carried out at the cellular level, but not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:go_curators, GOC:isa_complete]"	16591	1705	1549	21925	0.9085043988269794	0.09336387197878368	query_1	['GO:0008150']	16hr_60S_down	59.2884987828771
GO:BP	GO:0046394	carboxylic acid biosynthetic process	2.3330628586701113e-55	True	"""The chemical reactions and pathways resulting in the formation of carboxylic acids, any organic acid containing one or more carboxyl (-COOH) groups."" [ISBN:0198506732]"	556	1705	170	21925	0.09970674486803519	0.3057553956834532	query_1	['GO:0016053', 'GO:0019752']	16hr_60S_down	54.63207356004645
GO:BP	GO:0016053	organic acid biosynthetic process	2.3330628586701113e-55	True	"""The chemical reactions and pathways resulting in the formation of organic acids, any acidic compound containing carbon in covalent linkage."" [ISBN:0198506732]"	556	1705	170	21925	0.09970674486803519	0.3057553956834532	query_1	['GO:0006082', 'GO:0044283']	16hr_60S_down	54.63207356004645
GO:BP	GO:0008152	metabolic process	2.8194454876410876e-54	True	"""A cellular process consisting of the biochemical pathways by which a living organism transforms chemical substances. This includes including anabolism (biosynthetic process) and catabolism (catabolic process). Metabolic processes includes the transformation of small molecules, as well  macromolecular processes such as DNA repair and replication, protein synthesis and degradation."" [GOC:go_curators, ISBN:0198547684]"	12615	1705	1283	21925	0.7524926686217008	0.10170432025366627	query_1	['GO:0009987']	16hr_60S_down	53.54983629782879
GO:BP	GO:0170039	proteinogenic amino acid metabolic process	3.580736400848351e-47	True	"""The chemical reactions and pathways involving any amino acid that is incorporated into protein naturally by ribosomal translation of mRNA, and that has a specific codon for translation from mRNA to protein."" [GOC:ew]"	280	1705	110	21925	0.06451612903225806	0.39285714285714285	query_1	['GO:0006520', 'GO:0019752']	16hr_60S_down	46.44602764879281
GO:BP	GO:1901605	alpha-amino acid metabolic process	5.633687511196809e-47	True	"""The chemical reactions and pathways involving an alpha-amino acid."" [GOC:TermGenie]"	317	1705	117	21925	0.0686217008797654	0.36908517350157727	query_1	['GO:0006520', 'GO:0019752']	16hr_60S_down	46.24920724608412
GO:BP	GO:0008652	amino acid biosynthetic process	7.307734315808703e-46	True	"""The chemical reactions and pathways resulting in the formation of amino acids, organic acids containing one or more amino substituents."" [ISBN:0198506732]"	220	1705	96	21925	0.0563049853372434	0.43636363636363634	query_1	['GO:0006520', 'GO:0009058']	16hr_60S_down	45.13621725049242
GO:BP	GO:0170033	L-amino acid metabolic process	1.1434338570557712e-43	True	"""The chemical reactions and pathways involving an L-amino acid."" [GOC:edw]"	275	1705	105	21925	0.06158357771260997	0.38181818181818183	query_1	['GO:1901605']	16hr_60S_down	42.94178895247963
GO:BP	GO:1901607	alpha-amino acid biosynthetic process	1.8929901110401634e-41	True	"""The chemical reactions and pathways resulting in the formation of an alpha-amino acid."" [GOC:TermGenie]"	195	1705	86	21925	0.05043988269794721	0.441025641025641	query_1	['GO:0008652', 'GO:0046394', 'GO:1901605']	16hr_60S_down	40.722851654779944
GO:BP	GO:0170038	proteinogenic amino acid biosynthetic process	4.404150133881591e-38	True	"""The chemical reactions and pathways resulting in the formation of any amino acid that is incorporated into protein naturally by ribosomal translation of mRNA, and that has a specific codon for translation from mRNA to protein."" [GOC:ew]"	161	1705	75	21925	0.04398826979472141	0.4658385093167702	query_1	['GO:0046394', 'GO:0170039']	16hr_60S_down	37.3561378847037
GO:BP	GO:0170034	L-amino acid biosynthetic process	7.43715501539424e-35	True	"""The chemical reactions and pathways resulting in the formation of L-amino acids, the L-enantiomers of amino acids."" [GOC:edw]"	153	1705	70	21925	0.04105571847507331	0.45751633986928103	query_1	['GO:0170033', 'GO:1901607']	16hr_60S_down	34.1285931662564
GO:BP	GO:0005975	carbohydrate metabolic process	2.2183581638025387e-34	True	"""The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."" [GOC:mah, ISBN:0198506732]"	1101	1705	212	21925	0.12434017595307918	0.19255222524977295	query_1	['GO:0044238']	16hr_60S_down	33.653968333748004
GO:BP	GO:0032787	monocarboxylic acid metabolic process	1.4906112076689639e-33	True	"""The chemical reactions and pathways involving monocarboxylic acids, any organic acid containing one carboxyl (COOH) group or anion (COO-)."" [GOC:vk]"	489	1705	128	21925	0.0750733137829912	0.261758691206544	query_1	['GO:0019752']	16hr_60S_down	32.826635617702244
GO:BP	GO:0019637	organophosphate metabolic process	7.258144467343247e-33	True	"""The chemical reactions and pathways involving organophosphates, any phosphate-containing organic compound."" [ISBN:0198506732]"	613	1705	145	21925	0.08504398826979472	0.2365415986949429	query_1	['GO:0006793']	16hr_60S_down	32.13917439177812
GO:BP	GO:1901135	carbohydrate derivative metabolic process	1.5223994790589925e-32	True	"""The chemical reactions and pathways involving carbohydrate derivative."" [GOC:TermGenie]"	660	1705	151	21925	0.08856304985337243	0.2287878787878788	query_1	['GO:0008152']	16hr_60S_down	31.81747137332971
GO:BP	GO:0006790	sulfur compound metabolic process	1.777170192540788e-31	True	"""The chemical reactions and pathways involving the nonmetallic element sulfur or compounds that contain sulfur, such as the amino acids methionine and cysteine or the tripeptide glutathione."" [GOC:ai]"	320	1705	98	21925	0.05747800586510264	0.30625	query_1	['GO:0008152']	16hr_60S_down	30.750270979543036
GO:BP	GO:0055086	nucleobase-containing small molecule metabolic process	6.819292213886466e-31	True	"""The cellular chemical reactions and pathways involving a nucleobase-containing small molecule: a nucleobase, a nucleoside, or a nucleotide."" [GOC:vw]"	399	1705	110	21925	0.06451612903225806	0.2756892230576441	query_1	['GO:0006139', 'GO:0044281']	16hr_60S_down	30.166260699178576
